方莉,女,293,94,99,100
姜薇,女,286.5,89,98,99.5
赵笛,女,286,93,95,98
强蓓蓓,女,284.5,91,95.5,98
陈帆,女,283,87,99,97
张梦华,女,281,88,97,96
陈玥,女,279,87,94,98
徐洁蔚,女,279,89,97,93
韦媛,女,278,88,95,95
管玉露,女,278,93,90,95
徐雅琳,女,275,91,88,96
郑均,女,273,81,96,96
蒋文婧,女,271,90,89,92
张洁,女,270,88,92,90
彭丽燕,女,266.5,82,92.5,92
谢颖,女,265,90,88,87
殷娇,女,263,93,80,90
蒋嫘,女,261,91,86,84
费蕾,女,255,86,84,85
吴洁,女,248,74,93,81
陈菲,女,244,91,79,74
姜心怡,女,240,86,76,78
蒋抒廷,女,226,80,80,66
王飘飘,女,223,74,69,80
沈苏兰,女,191,69,61,61
史尧露,男,288,94,97,97
徐意,男,284,90,97,97
史彬,男,282.5,89,97.5,96
王杰,男,281,87,99,95
史茵杰,男,281,90,98,93
戴岭,男,281,91,96,94
狄鹏程,男,280,90,94,96
吕鹏,男,277,88,94,95
戴可科,男,274,82,96,96
惠洁,男,273,92,85,96
杨旭东,男,271,83,97,91
黄昊,男,270.5,80,97.5,93
潘家盛,男,269,87,89,93
宋浩,男,265,84,85,96
董鸣旭,男,262,86,84,92
宋云亮,男,260,86,88,86
张政丰,男,260,83,99,78
戴正亮,男,259,86,80,93
张斌斌,男,258,80,94,84
许浩,男,256.5,91,82.5,83
姜志民,男,252,79,91,82
施超,男,251,86,77,88
冒凯,男,249,74,92,83
何子文,男,247,76,92,79
沈聪,男,240,82,85,73
汤伟,男,229,82,67,80
吴文杰,男,226,73,83,70
夏超,男,212,69,68,75
史魁,男,206,63,85,58
吴恒,男,79,31,19,29
钱玥如,女,290,95,98,97
狄文倩,女,287,93,96,98
王喆,女,285,90,96,99
戴明霞,女,285,88,99,98
陈丹萍,女,281,91,95,95
施梦颖,女,280,90,97,93
余希文,女,279,90,99,90
王秋桐,女,279,85,97,97
欧亦飘,女,278,89,95,94
赵迪,女,278,92,92,94
严璐,女,278,89,96,93
徐乙丹,女,277,88,92,97
吴凌云,女,276,92,89,95
万茜,女,274,82,97,95
黄晶,女,271,92,87,92
狄玮,女,270,85,93,92
胡译丹,女,265,87,89,89
陈燕,女,265,85,90,90
孙嫣,女,261,77,95,89
狄晨程,女,261,84,90,87
郑香萍,女,256,86,83,87
周倩,女,255,85,76,94
张璐,女,244,82,72,90
周俊廷,女,236,82,81,73
谢青含,女,223,73,67,83
蒋晓溧,男,284,91,96,97
沈涛,男,284,91,98,95
潘俊杰,男,284,91,99,94
王鋆鎏,男,280.5,92,93.5,95
马勰,男,278,93,95,90
陈雷,男,276,91,92,93
戴可乐,男,274,87,92,95
谈盛,男,273,86,95,92
唐荣,男,271,91,91,89
蔡浩飞,男,267,84,89,94
汤鑫,男,265,87,88,90
周尧,男,264,85,88,91
徐路,男,263.5,75,95.5,93
黄静,男,261,77,91,93
周行,男,260,80,92,88
王盛安,男,260,93,82,85
曹力奇,男,257,89,81,87
黄思秋,男,255,80,86,89
李岩,男,254,76,90,88
史梦豪,男,248.5,82,84.5,82
蒋溧,男,248,82,87,79
姜科荣,男,247.5,90,76.5,81
孙达,男,241,78,84,79
席嘉豪,男,241,81,75,85
王旭,男,235,77,77,81
钱俊,男,232,75,76,81
陈鹏宇,男,207.5,64,90.5,53
黄超,男,203,65,74,64
狄华,男,196.5,70,72.5,54
符旭升,男,89,33,26,30
杨晨,女,292,93,100,99
狄梦妍,女,286,92,97,97
狄丽媛,女,284,91,94,99
蒋彤,女,284,91,99,94
宋扬,女,281.5,88,97.5,96
彭晔,女,281,89,95,97
包春燕,女,280,92,96,92
陈怡雯,女,279,92,97,90
姚倩,女,276,88,95,93
徐敏仪,女,270,86,89,95
缪梦洁,女,266,89,85,92
祁芸,女,264,80,92,92
罗钰,女,261.5,88,85.5,88
徐倩,女,260,86,96,78
陈玲玉,女,258,80,92,86
黄唯,女,257,92,69,96
宋媛,女,254,88,76,90
朱晨晨,女,247,84,81,82
汤霞飞,女,247,77,78,92
施玮虞,女,238.5,78,76.5,84
杨优优,女,229.5,83,80.5,66
黄燕,女,214,76,64,74
杲晶,女,182,74,42,66
彭家圆,男,287,94,97,96
潘笠,男,285,90,100,95
王雍,男,280,87,98,95
陈凌波,男,279,91,95,93
徐泽俊,男,278,91,95,92
邰阳,男,278,89,95,94
陈旭涛,男,277,88,98,91
葛杨,男,275,87,89,99
吴波,男,274.5,85,91.5,98
吕翔,男,271,91,86,94
马刘顺,男,269.5,85,93.5,91
汤剑飞,男,269,84,93,92
刘杰,男,267,83,93,91
张佳,男,265.5,83,91.5,91
郑成,男,261,90,90,81
邵鹏飞,男,261,83,90,88
洪成,男,259.5,84,94.5,81
吴昌原,男,258,83,91,84
唐责诚,男,257.5,79,86.5,92
宋超,男,257.5,77,87.5,93
诸达,男,257,83,88,86
虞益欣,男,250.5,83,90.5,77
朱映滔,男,248,86,77,85
张缪栋,男,240,76,87,77
狄吴杰,男,236.5,78,79.5,79
高进,男,233.5,88,75.5,70
马阳,男,222,82,61,79
蒋清安,男,209.5,68,66.5,75
葛云凯,男,192,72,54,66
陈佳崎,男,169.5,58,52.5,59
花妲,女,292.5,96,97,99.5
王萍,女,291.5,94,98,99.5
陈恬,女,288.5,92,97.5,99
范秀君,女,288,93,98,97
黄巾瑜,女,286,90,99,97
陈舒娴,女,286,91,96,99
朱甜,女,282,90,96,96
孙锦杨,女,281,92,96,93
张馨予,女,280,84,99,97
沈玉洁,女,276,83,97,96
陈锐泓,女,275,85,94,96
陆璐,女,274,91,92,91
王琳,女,274,89,95,90
朱艺辰,女,274,90,90,94
周玥,女,273,86,96,91
王伶元,女,273,86,94,93
陈琳妍,女,270,89,91,90
夏文倩,女,264,91,80,93
卜韦,女,262,79,96,87
葛铭,女,257,82,88,87
毛瑜歆,女,256.5,89,77.5,90
钱露,女,247,85,89,73
潘佳文,女,241,69,81,91
包婷,女,229,84,66,79
宗兰,女,215.5,73,65.5,77
周峰,男,283,89,99,95
陆元轲,男,281,90,99,92
狄健,男,280,92,96,92
董晨睎,男,280,85,99,96
沈俊,男,279,92,95,92
徐立,男,274.5,91,93.5,90
姜栋梁,男,273.5,87,93.5,93
黄溯,男,270,90,90,90
刘昭冶,男,270,84,94,92
金磊,男,268,91,88,89
顾颉,男,266,80,96,90
居迪,男,265,80,96,89
