姓名,性别,语文,数学,英语,总分,预留
方莉,女,94,99,100,293,0
姜薇,女,89,98,99.5,286.5,1
赵笛,女,93,95,98,286,2
强蓓蓓,女,91,95.5,98,284.5,3
陈帆,女,87,99,97,283
张梦华,女,88,97,96,281
陈玥,女,87,94,98,279
徐洁蔚,女,89,97,93,279
韦媛,女,88,95,95,278
管玉露,女,93,90,95,278
徐雅琳,女,91,88,96,275
郑均,女,81,96,96,273
蒋文婧,女,90,89,92,271
张洁,女,88,92,90,270
彭丽燕,女,82,92.5,92,266.5
谢颖,女,90,88,87,265
殷娇,女,93,80,90,263
蒋嫘,女,91,86,84,261
费蕾,女,86,84,85,255
吴洁,女,74,93,81,248
陈菲,女,91,79,74,244
姜心怡,女,86,76,78,240
蒋抒廷,女,80,80,66,226
王飘飘,女,74,69,80,223
沈苏兰,女,69,61,61,191
史尧露,男,94,97,97,288
徐意,男,90,97,97,284
史彬,男,89,97.5,96,282.5
王杰,男,87,99,95,281
史茵杰,男,90,98,93,281
戴岭,男,91,96,94,281
狄鹏程,男,90,94,96,280
吕鹏,男,88,94,95,277
戴可科,男,82,96,96,274
惠洁,男,92,85,96,273
杨旭东,男,83,97,91,271
黄昊,男,80,97.5,93,270.5
潘家盛,男,87,89,93,269
宋浩,男,84,85,96,265
董鸣旭,男,86,84,92,262
宋云亮,男,86,88,86,260
张政丰,男,83,99,78,260
戴正亮,男,86,80,93,259
张斌斌,男,80,94,84,258
许浩,男,91,82.5,83,256.5
姜志民,男,79,91,82,252
施超,男,86,77,88,251
冒凯,男,74,92,83,249
何子文,男,76,92,79,247
沈聪,男,82,85,73,240
汤伟,男,82,67,80,229
吴文杰,男,73,83,70,226
夏超,男,69,68,75,212
史魁,男,63,85,58,206
吴恒,男,31,19,29,79
钱玥如,女,95,98,97,290
狄文倩,女,93,96,98,287
王喆,女,90,96,99,285
戴明霞,女,88,99,98,285
陈丹萍,女,91,95,95,281
施梦颖,女,90,97,93,280
余希文,女,90,99,90,279
王秋桐,女,85,97,97,279
欧亦飘,女,89,95,94,278
赵迪,女,92,92,94,278
严璐,女,89,96,93,278
徐乙丹,女,88,92,97,277
吴凌云,女,92,89,95,276
万茜,女,82,97,95,274
黄晶,女,92,87,92,271
狄玮,女,85,93,92,270
胡译丹,女,87,89,89,265
陈燕,女,85,90,90,265
孙嫣,女,77,95,89,261
狄晨程,女,84,90,87,261
郑香萍,女,86,83,87,256
周倩,女,85,76,94,255
张璐,女,82,72,90,244
周俊廷,女,82,81,73,236
谢青含,女,73,67,83,223
蒋晓溧,男,91,96,97,284
沈涛,男,91,98,95,284
潘俊杰,男,91,99,94,284
王鋆鎏,男,92,93.5,95,280.5
马勰,男,93,95,90,278
陈雷,男,91,92,93,276
戴可乐,男,87,92,95,274
谈盛,男,86,95,92,273
唐荣,男,91,91,89,271
蔡浩飞,男,84,89,94,267
汤鑫,男,87,88,90,265
周尧,男,85,88,91,264
徐路,男,75,95.5,93,263.5
黄静,男,77,91,93,261
周行,男,80,92,88,260
王盛安,男,93,82,85,260
曹力奇,男,89,81,87,257
黄思秋,男,80,86,89,255
李岩,男,76,90,88,254
史梦豪,男,82,84.5,82,248.5
蒋溧,男,82,87,79,248
姜科荣,男,90,76.5,81,247.5
孙达,男,78,84,79,241
席嘉豪,男,81,75,85,241
王旭,男,77,77,81,235
钱俊,男,75,76,81,232
陈鹏宇,男,64,90.5,53,207.5
黄超,男,65,74,64,203
狄华,男,70,72.5,54,196.5
符旭升,男,33,26,30,89
杨晨,女,93,100,99,292
狄梦妍,女,92,97,97,286
狄丽媛,女,91,94,99,284
蒋彤,女,91,99,94,284
宋扬,女,88,97.5,96,281.5
彭晔,女,89,95,97,281
包春燕,女,92,96,92,280
陈怡雯,女,92,97,90,279
姚倩,女,88,95,93,276
徐敏仪,女,86,89,95,270
缪梦洁,女,89,85,92,266
祁芸,女,80,92,92,264
罗钰,女,88,85.5,88,261.5
徐倩,女,86,96,78,260
陈玲玉,女,80,92,86,258
黄唯,女,92,69,96,257
宋媛,女,88,76,90,254
朱晨晨,女,84,81,82,247
汤霞飞,女,77,78,92,247
施玮虞,女,78,76.5,84,238.5
杨优优,女,83,80.5,66,229.5
黄燕,女,76,64,74,214
杲晶,女,74,42,66,182
彭家圆,男,94,97,96,287
潘笠,男,90,100,95,285
王雍,男,87,98,95,280
陈凌波,男,91,95,93,279
徐泽俊,男,91,95,92,278
邰阳,男,89,95,94,278
陈旭涛,男,88,98,91,277
葛杨,男,87,89,99,275
吴波,男,85,91.5,98,274.5
吕翔,男,91,86,94,271
马刘顺,男,85,93.5,91,269.5
汤剑飞,男,84,93,92,269
刘杰,男,83,93,91,267
张佳,男,83,91.5,91,265.5
郑成,男,90,90,81,261
邵鹏飞,男,83,90,88,261
洪成,男,84,94.5,81,259.5
吴昌原,男,83,91,84,258
唐责诚,男,79,86.5,92,257.5
宋超,男,77,87.5,93,257.5
诸达,男,83,88,86,257
虞益欣,男,83,90.5,77,250.5
朱映滔,男,86,77,85,248
张缪栋,男,76,87,77,240
狄吴杰,男,78,79.5,79,236.5
高进,男,88,75.5,70,233.5
马阳,男,82,61,79,222
蒋清安,男,68,66.5,75,209.5
葛云凯,男,72,54,66,192
陈佳崎,男,58,52.5,59,169.5
花妲,女,96,97,99.5,292.5
王萍,女,94,98,99.5,291.5
陈恬,女,92,97.5,99,288.5
范秀君,女,93,98,97,288
黄巾瑜,女,90,99,97,286
陈舒娴,女,91,96,99,286
朱甜,女,90,96,96,282
孙锦杨,女,92,96,93,281
张馨予,女,84,99,97,280
沈玉洁,女,83,97,96,276
陈锐泓,女,85,94,96,275
陆璐,女,91,92,91,274
王琳,女,89,95,90,274
朱艺辰,女,90,90,94,274
周玥,女,86,96,91,273
王伶元,女,86,94,93,273
陈琳妍,女,89,91,90,270
夏文倩,女,91,80,93,264
卜韦,女,79,96,87,262
葛铭,女,82,88,87,257
毛瑜歆,女,89,77.5,90,256.5
钱露,女,85,89,73,247
潘佳文,女,69,81,91,241
包婷,女,84,66,79,229
宗兰,女,73,65.5,77,215.5
周峰,男,89,99,95,283
陆元轲,男,90,99,92,281
狄健,男,92,96,92,280
董晨睎,男,85,99,96,280
沈俊,男,92,95,92,279
徐立,男,91,93.5,90,274.5
姜栋梁,男,87,93.5,93,273.5
黄溯,男,90,90,90,270
刘昭冶,男,84,94,92,270
金磊,男,91,88,89,268
顾颉,男,80,96,90,266
居迪,男,80,96,89,265
